torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,fouls_local,corners_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,fouls_visitante,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante
Apertura 2009,12,2,Racing Club,Atl Tucuman,4,0,,,,,,,,,,,,,,
Apertura 2009,12,3,Gimnasia (LP),San Lorenzo,2,2,,,,,,,,,,,,,,
Apertura 2009,12,4,Chacarita,Argentinos,2,2,,,,,,,,,,,,,,
Apertura 2009,12,5,River Plate,Lanus,0,1,,,,,,,,,,,,,,
Apertura 2009,12,6,Rosario Central,Boca Juniors,2,1,,,,,,,,,,,,,,
Apertura 2009,12,7,Arsenal,Independiente,1,0,,,,,,,,,,,,,,
Apertura 2009,12,8,Banfield,Estudiantes (LP),2,1,,,,,,,,,,,,,,
Apertura 2009,12,9,Tigre,Newells,1,2,,,,,,,,,,,,,,
Apertura 2009,12,10,Colon,Huracan,3,0,,,,,,,,,,,,,,
Apertura 2009,13,1,Argentinos,Rosario Central,1,1,,,,,,,,,,,,,,
Apertura 2009,13,2,Independiente,Gimnasia (LP),1,0,,,,,,,,,,,,,,
Apertura 2009,13,3,Lanus,Chacarita,0,3,,,,,,,,,,,,,,
Apertura 2009,13,4,Godoy Cruz,Racing Club,3,1,,,,,,,,,,,,,,
Apertura 2009,13,5,Newells,River Plate,2,1,,,,,,,,,,,,,,
Apertura 2009,13,6,Atl Tucuman,Tigre,4,2,,,,,,,,,,,,,,
Apertura 2009,13,7,San Lorenzo,Banfield,0,1,,,,,,,,,,,,,,
Apertura 2009,13,8,Estudiantes (LP),Velez,3,0,,,,,,,,,,,,,,
Apertura 2009,13,9,Boca Juniors,Colon,0,0,,,,,,,,,,,,,,
Apertura 2009,13,10,Huracan,Arsenal,1,1,,,,,,,,,,,,,,
Apertura 2009,14,1,Chacarita,Newells,0,1,,,,,,,,,,,,,,
Apertura 2009,14,2,Tigre,Godoy Cruz,2,0,,,,,,,,,,,,,,
Apertura 2009,14,3,Banfield,Velez,3,0,,,,,,,,,,,,,,
