torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,fouls_local,corners_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,fouls_visitante,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante
Campeonato 2015,15,8,Rosario Central,Independiente,1,1,,,,,,,,,,,,,,
Campeonato 2015,15,9,Atl Rafaela,Nueva Chicago,2,0,,,,,,,,,,,,,,
Campeonato 2015,15,10,Racing Club,Velez,3,1,,,,,,,,,,,,,,
Campeonato 2015,15,11,Boca Juniors,Newells,4,0,,,,,,,,,,,,,,
Campeonato 2015,15,12,Godoy Cruz,Arsenal,0,0,,,,,,,,,,,,,,
Campeonato 2015,15,13,Olimpo,River Plate,1,1,,,,,,,,,,,,,,
Campeonato 2015,15,14,Tigre,Aldosivi,2,1,,,,,,,,,,,,,,
Campeonato 2015,15,15,Def y Justicia,Estudiantes (LP),0,1,,,,,,,,,,,,,,
Campeonato 2015,16,1,Arsenal,Gimnasia (LP),0,1,,,,,,,,,,,,,,
Campeonato 2015,16,2,Estudiantes (LP),San Martin (SJ),0,0,,,,,,,,,,,,,,
Campeonato 2015,16,3,Belgrano,Argentinos,2,1,,,,,,,,,,,,,,
Campeonato 2015,16,4,River Plate,Temperley,1,1,,,,,,,,,,,,,,
Campeonato 2015,16,5,Union,San Lorenzo,1,1,,,,,,,,,,,,,,
Campeonato 2015,16,6,Quilmes,Banfield,0,1,,,,,,,,,,,,,,
Campeonato 2015,16,7,Huracan,Def y Justicia,0,0,,,,,,,,,,,,,,
Campeonato 2015,16,8,Lanus,Atl Rafaela,3,0,,,,,,,,,,,,,,
Campeonato 2015,16,9,Nueva Chicago,Colon,0,0,,,,,,,,,,,,,,
Campeonato 2015,16,10,Independiente,Olimpo,3,1,,,,,,,,,,,,,,
Campeonato 2015,16,11,Newells,Racing Club,3,0,,,,,,,,,,,,,,
Campeonato 2015,16,12,Godoy Cruz,Crucero (M),3,0,,,,,,,,,,,,,,
Campeonato 2015,16,13,Sarmiento (J),Boca Juniors,0,1,,,,,,,,,,,,,,
Campeonato 2015,16,14,Aldosivi,Rosario Central,1,3,,,,,,,,,,,,,,
Campeonato 2015,16,15,Velez,Tigre,2,2,,,,,,,,,,,,,,
Campeonato 2015,17,1,San Lorenzo,Arsenal,3,0,,,,,,,,,,,,,,
Campeonato 2015,17,2,Banfield,Belgrano,1,2,,,,,,,,,,,,,,
Campeonato 2015,17,3,Olimpo,Aldosivi,3,1,,,,,,,,,,,,,,
Campeonato 2015,17,4,Boca Juniors,Quilmes,2,1,,,,,,,,,,,,,,
Campeonato 2015,17,5,Def y Justicia,Nueva Chicago,2,1,,,,,,,,,,,,,,
Campeonato 2015,17,6,Atl Rafaela,River Plate,1,5,,,,,,,,,,,,,,
Campeonato 2015,17,7,Racing Club,Sarmiento (J),2,1,,,,,,,,,,,,,,
Campeonato 2015,17,8,Colon,Lanus,1,2,,,,,,,,,,,,,,
Campeonato 2015,17,9,Tigre,Newells,0,0,,,,,,,,,,,,,,
Campeonato 2015,17,10,San Martin (SJ),Huracan,3,2,,,,,,,,,,,,,,
Campeonato 2015,17,11,Rosario Central,Velez,0,0,,,,,,,,,,,,,,
Campeonato 2015,17,12,Temperley,Independiente,0,1,,,,,,,,,,,,,,
Campeonato 2015,17,13,Gimnasia (LP),Godoy Cruz,2,0,,,,,,,,,,,,,,
Campeonato 2015,17,14,Crucero (M),Estudiantes (LP),1,2,,,,,,,,,,,,,,
Campeonato 2015,17,15,Argentinos,Union,1,2,,,,,,,,,,,,,,
Campeonato 2015,18,1,Aldosivi,Temperley,0,0,,,,,,,,,,,,,,
Campeonato 2015,18,2,Gimnasia (LP),Crucero (M),2,1,,,,,,,,,,,,,,
Campeonato 2015,18,3,Sarmiento (J),Tigre,0,1,,,,,,,,,,,,,,
Campeonato 2015,18,4,River Plate,Colon,3,1,,,,,,,,,,,,,,
Campeonato 2015,18,5,Union,Banfield,0,0,,,,,,,,,,,,,,
Campeonato 2015,18,6,Independiente,Atl Rafaela,2,0,,,,,,,,,,,,,,
Campeonato 2015,18,7,Velez,Olimpo,0,2,,,,,,,,,,,,,,
Campeonato 2015,18,8,Godoy Cruz,San Lorenzo,1,1,,,,,,,,,,,,,,
Campeonato 2015,18,9,Newells,Rosario Central,0,1,,,,,,,,,,,,,,
Campeonato 2015,18,10,Quilmes,Racing Club,2,1,,,,,,,,,,,,,,
Campeonato 2015,18,11,Huracan,Estudiantes (LP),1,0,,,,,,,,,,,,,,
Campeonato 2015,18,12,Lanus,Def y Justicia,0,1,,,,,,,,,,,,,,
Campeonato 2015,18,13,Belgrano,Boca Juniors,0,1,,,,,,,,,,,,,,
Campeonato 2015,18,14,Nueva Chicago,San Martin (SJ),0,0,,,,,,,,,,,,,,
Campeonato 2015,18,15,Arsenal,Argentinos,3,2,,,,,,,,,,,,,,
Campeonato 2015,19,1,Atl Rafaela,Aldosivi,2,1,,,,,,,,,,,,,,
Campeonato 2015,19,2,Temperley,Velez,2,1,,,,,,,,,,,,,,
Campeonato 2015,19,3,Argentinos,Godoy Cruz,0,0,,,,,,,,,,,,,,
Campeonato 2015,19,4,Estudiantes (LP),Nueva Chicago,1,0,,,,,,,,,,,,,,
Campeonato 2015,19,5,San Lorenzo,Gimnasia (LP),1,0,,,,,,,,,,,,,,
Campeonato 2015,19,6,Colon,Independiente,0,1,,,,,,,,,,,,,,
Campeonato 2015,19,7,Rosario Central,Sarmiento (J),1,1,,,,,,,,,,,,,,
Campeonato 2015,19,8,Olimpo,Newells,2,0,,,,,,,,,,,,,,
Campeonato 2015,19,9,Racing Club,Belgrano,0,0,,,,,,,,,,,,,,
Campeonato 2015,19,10,Crucero (M),Huracan,3,3,,,,,,,,,,,,,,
Campeonato 2015,19,11,Boca Juniors,Union,3,4,,,,,,,,,,,,,,
Campeonato 2015,19,12,Tigre,Quilmes,0,1,,,,,,,,,,,,,,
Campeonato 2015,19,13,Banfield,Arsenal,4,1,,,,,,,,,,,,,,
Campeonato 2015,19,14,San Martin (SJ),Lanus,1,1,,,,,,,,,,,,,,
Campeonato 2015,19,15,Def y Justicia,River Plate,1,0,,,,,,,,,,,,,,
Campeonato 2015,20,1,Sarmiento (J),Olimpo,0,0,,,,,,,,,,,,,,
Campeonato 2015,20,2,Belgrano,Tigre,1,0,,,,,,,,,,,,,,
Campeonato 2015,20,3,Independiente,Def y Justicia,1,0,,,,,,,,,,,,,,
Campeonato 2015,20,4,Nueva Chicago,Huracan,3,0,,,,,,,,,,,,,,
Campeonato 2015,20,5,Godoy Cruz,Banfield,1,2,,,,,,,,,,,,,,
Campeonato 2015,20,6,Aldosivi,Colon,1,1,,,,,,,,,,,,,,
Campeonato 2015,20,7,Union,Racing Club,1,2,,,,,,,,,,,,,,
Campeonato 2015,20,8,Lanus,Estudiantes (LP),0,0,,,,,,,,,,,,,,
Campeonato 2015,20,9,Gimnasia (LP),Argentinos,4,2,,,,,,,,,,,,,,
Campeonato 2015,20,10,San Lorenzo,Crucero (M),2,1,,,,,,,,,,,,,,
Campeonato 2015,20,11,Velez,Atl Rafaela,2,2,,,,,,,,,,,,,,
Campeonato 2015,20,12,Newells,Temperley,0,0,,,,,,,,,,,,,,
Campeonato 2015,20,13,Arsenal,Boca Juniors,1,2,,,,,,,,,,,,,,
Campeonato 2015,20,14,River Plate,San Martin (SJ),0,1,,,,,,,,,,,,,,
Campeonato 2015,20,15,Quilmes,Rosario Central,3,1,,,,,,,,,,,,,,
Campeonato 2015,21,1,Atl Rafaela,Newells,1,1,,,,,,,,,,,,,,
Campeonato 2015,21,2,Banfield,Gimnasia (LP),1,0,,,,,,,,,,,,,,
Campeonato 2015,21,3,Olimpo,Quilmes,0,1,,,,,,,,,,,,,,
Campeonato 2015,21,4,Racing Club,Arsenal,2,1,,,,,,,,,,,,,,
Campeonato 2015,21,5,Colon,Velez,0,0,,,,,,,,,,,,,,
Campeonato 2015,21,6,San Martin (SJ),Independiente,1,1,,,,,,,,,,,,,,
Campeonato 2015,21,7,Argentinos,San Lorenzo,2,3,,,,,,,,,,,,,,
Campeonato 2015,21,8,Crucero (M),Nueva Chicago,0,1,,,,,,,,,,,,,,
Campeonato 2015,21,9,Rosario Central,Belgrano,3,1,,,,,,,,,,,,,,
Campeonato 2015,21,10,Huracan,Lanus,0,0,,,,,,,,,,,,,,
Campeonato 2015,21,11,Tigre,Union,2,1,,,,,,,,,,,,,,
Campeonato 2015,21,12,Boca Juniors,Godoy Cruz,2,0,,,,,,,,,,,,,,
Campeonato 2015,21,13,Estudiantes (LP),River Plate,2,1,,,,,,,,,,,,,,
Campeonato 2015,21,14,Def y Justicia,Aldosivi,4,0,,,,,,,,,,,,,,
Campeonato 2015,21,15,Temperley,Sarmiento (J),0,0,,,,,,,,,,,,,,
Campeonato 2015,22,1,Argentinos,Crucero (M),4,0,,,,,,,,,,,,,,
Campeonato 2015,22,2,Quilmes,Temperley,0,0,,,,,,,,,,,,,,
Campeonato 2015,22,3,Aldosivi,San Martin (SJ),2,0,,,,,,,,,,,,,,
Campeonato 2015,22,4,Gimnasia (LP),Boca Juniors,1,2,,,,,,,,,,,,,,
Campeonato 2015,22,5,Velez,Def y Justicia,2,1,,,,,,,,,,,,,,
Campeonato 2015,22,6,Newells,Colon,0,1,,,,,,,,,,,,,,
Campeonato 2015,22,7,Arsenal,Tigre,2,0,,,,,,,,,,,,,,
Campeonato 2015,22,8,San Lorenzo,Banfield,0,0,,,,,,,,,,,,,,
Campeonato 2015,22,9,Sarmiento (J),Atl Rafaela,0,1,,,,,,,,,,,,,,
Campeonato 2015,22,10,River Plate,Huracan,1,1,,,,,,,,,,,,,,
Campeonato 2015,22,11,Union,Rosario Central,0,1,,,,,,,,,,,,,,
Campeonato 2015,22,12,Independiente,Estudiantes (LP),1,1,,,,,,,,,,,,,,
Campeonato 2015,22,13,Belgrano,Olimpo,0,0,,,,,,,,,,,,,,
Campeonato 2015,22,14,Lanus,Nueva Chicago,1,0,,,,,,,,,,,,,,
Campeonato 2015,22,15,Godoy Cruz,Racing Club,1,2,,,,,,,,,,,,,,
Campeonato 2015,23,1,Tigre,Godoy Cruz,2,1,,,,,,,,,,,,,,
Campeonato 2015,23,2,Banfield,Argentinos,1,1,,,,,,,,,,,,,,
Campeonato 2015,23,3,Crucero (M),Lanus,1,3,,,,,,,,,,,,,,
Campeonato 2015,23,4,Rosario Central,Arsenal,1,0,,,,,,,,,,,,,,
Campeonato 2015,23,5,Colon,Sarmiento (J),0,1,,,,,,,,,,,,,,
Campeonato 2015,23,6,Huracan,Independiente,1,1,,,,,,,,,,,,,,
Campeonato 2015,23,7,Def y Justicia,Newells,1,0,,,,,,,,,,,,,,
Campeonato 2015,23,8,Temperley,Belgrano,2,1,,,,,,,,,,,,,,
Campeonato 2015,23,9,Nueva Chicago,River Plate,1,4,,,,,,,,,,,,,,
Campeonato 2015,23,10,San Martin (SJ),Velez,3,1,,,,,,,,,,,,,,
Campeonato 2015,23,11,Boca Juniors,San Lorenzo,0,1,,,,,,,,,,,,,,
Campeonato 2015,23,12,Olimpo,Union,0,0,,,,,,,,,,,,,,
Campeonato 2015,23,13,Racing Club,Gimnasia (LP),2,0,,,,,,,,,,,,,,
Campeonato 2015,23,14,Atl Rafaela,Quilmes,2,4,,,,,,,,,,,,,,
Campeonato 2015,23,15,Estudiantes (LP),Aldosivi,2,1,,,,,,,,,,,,,,
Campeonato 2015,24,1,Def y Justicia,Arsenal,1,0,,,,,,,,,,,,,,
Campeonato 2015,24,2,Nueva Chicago,Argentinos,1,2,,,,,,,,,,,,,,
Campeonato 2015,24,3,Independiente,Racing Club,3,0,,,,,,,,,,,,,,
Campeonato 2015,24,4,San Martin (SJ),Godoy Cruz,1,2,,,,,,,,,,,,,,
Campeonato 2015,24,5,Huracan,San Lorenzo,1,0,,,,,,,,,,,,,,
Campeonato 2015,24,6,Olimpo,Sarmiento (J),1,0,,,,,,,,,,,,,,
Campeonato 2015,24,7,Atl Rafaela,Belgrano,1,1,,,,,,,,,,,,,,
Campeonato 2015,24,8,Tigre,Velez,3,0,,,,,,,,,,,,,,
Campeonato 2015,24,9,Rosario Central,Newells,0,0,,,,,,,,,,,,,,
Campeonato 2015,24,10,Estudiantes (LP),Gimnasia (LP),1,1,,,,,,,,,,,,,,
Campeonato 2015,24,11,Colon,Union,0,0,,,,,,,,,,,,,,
Campeonato 2015,24,12,River Plate,Boca Juniors,0,1,,,,,,,,,,,,,,
Campeonato 2015,24,13,Lanus,Banfield,0,1,,,,,,,,,,,,,,
Campeonato 2015,24,14,Aldosivi,Crucero (M),2,0,,,,,,,,,,,,,,
Campeonato 2015,24,15,Temperley,Quilmes,0,0,,,,,,,,,,,,,,
Campeonato 2015,25,1,Sarmiento (J),Def y Justicia,2,1,,,,,,,,,,,,,,
Campeonato 2015,25,2,Aldosivi,Huracan,0,0,,,,,,,,,,,,,,
Campeonato 2015,25,3,Godoy Cruz,Rosario Central,1,3,,,,,,,,,,,,,,
Campeonato 2015,25,4,Argentinos,Boca Juniors,1,3,,,,,,,,,,,,,,
Campeonato 2015,25,5,Independiente,Nueva Chicago,2,1,,,,,,,,,,,,,,
Campeonato 2015,25,6,Gimnasia (LP),Tigre,1,1,,,,,,,,,,,,,,
Campeonato 2015,25,7,Newells,San Martin (SJ),1,0,,,,,,,,,,,,,,
Campeonato 2015,25,8,Velez,Estudiantes (LP),0,1,,,,,,,,,,,,,,
Campeonato 2015,25,9,Arsenal,Olimpo,2,1,,,,,,,,,,,,,,
Campeonato 2015,25,10,Banfield,Crucero (M),2,1,,,,,,,,,,,,,,
Campeonato 2015,25,11,Union,Temperley,2,1,,,,,,,,,,,,,,
Campeonato 2015,25,12,River Plate,Lanus,1,1,,,,,,,,,,,,,,
Campeonato 2015,25,13,San Lorenzo,Racing Club,2,1,,,,,,,,,,,,,,
Campeonato 2015,25,14,Belgrano,Atl Rafaela,0,0,,,,,,,,,,,,,,
Campeonato 2015,25,15,Quilmes,Colon,1,0,,,,,,,,,,,,,,
Campeonato 2015,26,1,Olimpo,Godoy Cruz,1,0,,,,,,,,,,,,,,
Campeonato 2015,26,2,Nueva Chicago,Aldosivi,3,1,,,,,,,,,,,,,,
Campeonato 2015,26,3,Atl Rafaela,Union,2,3,,,,,,,,,,,,,,
Campeonato 2015,26,4,Tigre,San Lorenzo,1,1,,,,,,,,,,,,,,
Campeonato 2015,26,5,Colon,Belgrano,0,1,,,,,,,,,,,,,,
Campeonato 2015,26,6,Crucero (M),River Plate,0,1,,,,,,,,,,,,,,
Campeonato 2015,26,7,Racing Club,Argentinos,1,0,,,,,,,,,,,,,,
Campeonato 2015,26,8,Rosario Central,Gimnasia (LP),4,0,,,,,,,,,,,,,,
Campeonato 2015,26,9,Huracan,Velez,0,0,,,,,,,,,,,,,,
Campeonato 2015,26,10,Def y Justicia,Quilmes,0,1,,,,,,,,,,,,,,
Campeonato 2015,26,11,Boca Juniors,Banfield,3,0,,,,,,,,,,,,,,
Campeonato 2015,26,12,San Martin (SJ),Sarmiento (J),0,1,,,,,,,,,,,,,,
Campeonato 2015,26,13,Lanus,Independiente,1,1,,,,,,,,,,,,,,
Campeonato 2015,26,14,Temperley,Arsenal,1,2,,,,,,,,,,,,,,
Campeonato 2015,26,15,Estudiantes (LP),Newells,0,2,,,,,,,,,,,,,,
Campeonato 2015,27,1,Belgrano,Def y Justicia,1,0,,,,,,,,,,,,,,
Campeonato 2015,27,2,Quilmes,San Martin (SJ),2,0,,,,,,,,,,,,,,
Campeonato 2015,27,3,Arsenal,Atl Rafaela,1,1,,,,,,,,,,,,,,
Campeonato 2015,27,4,Sarmiento (J),Estudiantes (LP),0,1,,,,,,,,,,,,,,
Campeonato 2015,27,5,Argentinos,Tigre,2,1,,,,,,,,,,,,,,
Campeonato 2015,27,6,San Lorenzo,Rosario Central,2,2,,,,,,,,,,,,,,
Campeonato 2015,27,7,Gimnasia (LP),Olimpo,2,2,,,,,,,,,,,,,,
Campeonato 2015,27,8,Velez,Nueva Chicago,1,2,,,,,,,,,,,,,,
Campeonato 2015,27,9,Union,Colon,0,0,,,,,,,,,,,,,,
Campeonato 2015,27,10,Godoy Cruz,Temperley,3,0,,,,,,,,,,,,,,
Campeonato 2015,27,11,Boca Juniors,Crucero (M),1,0,,,,,,,,,,,,,,
Campeonato 2015,27,12,Newells,Huracan,2,0,,,,,,,,,,,,,,
Campeonato 2015,27,13,Independiente,River Plate,3,0,,,,,,,,,,,,,,
Campeonato 2015,27,14,Aldosivi,Lanus,3,1,,,,,,,,,,,,,,
Campeonato 2015,27,15,Banfield,Racing Club,0,0,,,,,,,,,,,,,,
Campeonato 2015,28,1,Huracan,Sarmiento (J),3,0,,,,,,,,,,,,,,
Campeonato 2015,28,2,Crucero (M),Independiente,0,4,,,,,,,,,,,,,,
Campeonato 2015,28,3,Nueva Chicago,Newells,5,0,,,,,,,,,,,,,,
Campeonato 2015,28,4,Atl Rafaela,Godoy Cruz,1,4,,,,,,,,,,,,,,
Campeonato 2015,28,5,Colon,Arsenal,3,1,,,,,,,,,,,,,,
Campeonato 2015,28,6,San Martin (SJ),Belgrano,1,1,,,,,,,,,,,,,,
Campeonato 2015,28,7,Estudiantes (LP),Quilmes,4,1,,,,,,,,,,,,,,
Campeonato 2015,28,8,Lanus,Velez,0,1,,,,,,,,,,,,,,
Campeonato 2015,28,9,Olimpo,San Lorenzo,2,1,,,,,,,,,,,,,,
Campeonato 2015,28,10,Rosario Central,Argentinos,2,0,,,,,,,,,,,,,,
Campeonato 2015,28,11,Tigre,Banfield,3,1,,,,,,,,,,,,,,
Campeonato 2015,28,12,River Plate,Aldosivi,1,1,,,,,,,,,,,,,,
Campeonato 2015,28,13,Racing Club,Boca Juniors,3,1,,,,,,,,,,,,,,
Campeonato 2015,28,14,Def y Justicia,Union,0,0,,,,,,,,,,,,,,
Campeonato 2015,28,15,Temperley,Gimnasia (LP),1,3,,,,,,,,,,,,,,
Campeonato 2015,29,1,Sarmiento (J),Nueva Chicago,1,2,,,,,,,,,,,,,,
Campeonato 2015,29,2,Godoy Cruz,Colon,1,3,,,,,,,,,,,,,,
Campeonato 2015,29,3,Belgrano,Estudiantes (LP),2,1,,,,,,,,,,,,,,
Campeonato 2015,29,4,Gimnasia (LP),Atl Rafaela,1,0,,,,,,,,,,,,,,
Campeonato 2015,29,5,Velez,River Plate,0,1,,,,,,,,,,,,,,
Campeonato 2015,29,6,Union,San Martin (SJ),0,0,,,,,,,,,,,,,,
Campeonato 2015,29,7,Racing Club,Crucero (M),3,0,,,,,,,,,,,,,,
Campeonato 2015,29,8,Newells,Lanus,1,1,,,,,,,,,,,,,,
Campeonato 2015,29,9,Quilmes,Huracan,2,1,,,,,,,,,,,,,,
Campeonato 2015,29,10,San Lorenzo,Temperley,2,0,,,,,,,,,,,,,,
Campeonato 2015,29,11,Boca Juniors,Tigre,1,0,,,,,,,,,,,,,,
Campeonato 2015,29,12,Banfield,Rosario Central,2,1,,,,,,,,,,,,,,
Campeonato 2015,29,13,Aldosivi,Independiente,1,0,,,,,,,,,,,,,,
Campeonato 2015,29,14,Arsenal,Def y Justicia,1,0,,,,,,,,,,,,,,
Campeonato 2015,29,15,Argentinos,Olimpo,0,1,,,,,,,,,,,,,,
Campeonato 2015,30,1,Lanus,Sarmiento (J),2,1,,,,,,,,,,,,,,
Campeonato 2015,30,2,Def y Justicia,Godoy Cruz,1,1,,,,,,,,,,,,,,
Campeonato 2015,30,3,Colon,Gimnasia (LP),2,1,,,,,,,,,,,,,,
Campeonato 2015,30,4,San Martin (SJ),Arsenal,1,0,,,,,,,,,,,,,,
Campeonato 2015,30,5,Estudiantes (LP),Union,2,0,,,,,,,,,,,,,,
Campeonato 2015,30,6,Olimpo,Banfield,1,2,,,,,,,,,,,,,,
Campeonato 2015,30,7,River Plate,Newells,0,2,,,,,,,,,,,,,,
Campeonato 2015,30,8,Tigre,Racing Club,0,0,,,,,,,,,,,,,,
Campeonato 2015,30,9,Atl Rafaela,San Lorenzo,0,1,,,,,,,,,,,,,,
Campeonato 2015,30,10,Rosario Central,Boca Juniors,3,1,,,,,,,,,,,,,,
Campeonato 2015,30,11,Independiente,Velez,1,0,,,,,,,,,,,,,,
Campeonato 2015,30,12,Huracan,Belgrano,1,1,,,,,,,,,,,,,,
Campeonato 2015,30,13,Temperley,Argentinos,0,0,,,,,,,,,,,,,,
Campeonato 2015,30,14,Nueva Chicago,Quilmes,2,1,,,,,,,,,,,,,,
Campeonato 2015,30,15,Crucero (M),Aldosivi,0,2,,,,,,,,,,,,,,
Transicion 2016,1,1,Banfield,Gimnasia (LP),2,0,,,,,,,,,,,,,,
Transicion 2016,1,2,Huracan,Atl Rafaela,0,1,,,,,,,,,,,,,,
Transicion 2016,1,3,Rosario Central,Godoy Cruz,1,0,,,,,,,,,,,,,,
Transicion 2016,1,4,Aldosivi,Olimpo,3,0,,,,,,,,,,,,,,
Transicion 2016,1,5,Argentinos,Tigre,1,1,,,,,,,,,,,,,,
Transicion 2016,1,6,Patronato,San Lorenzo,2,2,,,,,,,,,,,,,,
Transicion 2016,1,7,San Martin (SJ),Newells,2,1,,,,,,,,,,,,,,
Transicion 2016,1,8,Temperley,Boca Juniors,0,0,,,,,,,,,,,,,,
Transicion 2016,1,9,Def y Justicia,Union,2,2,,,,,,,,,,,,,,
Transicion 2016,1,10,Independiente,Belgrano,1,0,,,,,,,,,,,,,,
Transicion 2016,1,11,Colon,Arsenal,2,1,,,,,,,,,,,,,,
Transicion 2016,1,12,Atl Tucuman,Racing Club,2,1,,,,,,,,,,,,,,
Transicion 2016,1,13,Estudiantes (LP),Lanus,0,1,,,,,,,,,,,,,,
Transicion 2016,1,14,River Plate,Quilmes,5,1,,,,,,,,,,,,,,
Transicion 2016,1,15,Sarmiento (J),Velez,1,0,,,,,,,,,,,,,,
Transicion 2016,2,1,Union,Temperley,3,0,,,,,,,,,,,,,,
Transicion 2016,2,2,Arsenal,Banfield,3,1,,,,,,,,,,,,,,
Transicion 2016,2,3,Quilmes,Colon,2,4,,,,,,,,,,,,,,
Transicion 2016,2,4,Godoy Cruz,Independiente,1,1,,,,,,,,,,,,,,
Transicion 2016,2,5,Atl Rafaela,Estudiantes (LP),0,1,,,,,,,,,,,,,,
Transicion 2016,2,6,San Lorenzo,Sarmiento (J),2,1,,,,,,,,,,,,,,
Transicion 2016,2,7,Aldosivi,Argentinos,3,2,,,,,,,,,,,,,,
Transicion 2016,2,8,Velez,Olimpo,2,1,,,,,,,,,,,,,,
Transicion 2016,2,9,Racing Club,San Martin (SJ),2,2,,,,,,,,,,,,,,
Transicion 2016,2,10,Lanus,Def y Justicia,2,1,,,,,,,,,,,,,,
Transicion 2016,2,11,Rosario Central,Newells,2,0,,,,,,,,,,,,,,
Transicion 2016,2,12,Gimnasia (LP),Patronato,3,2,,,,,,,,,,,,,,
Transicion 2016,2,13,Boca Juniors,Atl Tucuman,0,1,,,,,,,,,,,,,,
Transicion 2016,2,14,Belgrano,River Plate,3,2,,,,,,,,,,,,,,
Transicion 2016,2,15,Tigre,Huracan,1,2,,,,,,,,,,,,,,
Transicion 2016,3,1,Banfield,Quilmes,1,1,,,,,,,,,,,,,,
Transicion 2016,3,2,Olimpo,San Lorenzo,0,2,,,,,,,,,,,,,,
Transicion 2016,3,3,Argentinos,Velez,0,3,,,,,,,,,,,,,,
Transicion 2016,3,4,Newells,Racing Club,5,0,,,,,,,,,,,,,,
Transicion 2016,3,5,Def y Justicia,Atl Rafaela,4,1,,,,,,,,,,,,,,
Transicion 2016,3,6,Independiente,Rosario Central,0,2,,,,,,,,,,,,,,
Transicion 2016,3,7,Patronato,Arsenal,0,0,,,,,,,,,,,,,,
Transicion 2016,3,8,San Martin (SJ),Boca Juniors,0,1,,,,,,,,,,,,,,
Transicion 2016,3,9,Sarmiento (J),Gimnasia (LP),1,3,,,,,,,,,,,,,,
Transicion 2016,3,10,Estudiantes (LP),Tigre,1,1,,,,,,,,,,,,,,
Transicion 2016,3,11,Colon,Belgrano,3,0,,,,,,,,,,,,,,
Transicion 2016,3,12,Temperley,Lanus,0,1,,,,,,,,,,,,,,
Transicion 2016,3,13,Atl Tucuman,Union,2,0,,,,,,,,,,,,,,
Transicion 2016,3,14,River Plate,Godoy Cruz,1,2,,,,,,,,,,,,,,
Transicion 2016,3,15,Huracan,Aldosivi,2,0,,,,,,,,,,,,,,
Transicion 2016,4,1,San Lorenzo,Velez,3,2,,,,,,,,,,,,,,
Transicion 2016,4,2,Gimnasia (LP),Olimpo,1,0,,,,,,,,,,,,,,
Transicion 2016,4,3,Boca Juniors,Newells,4,1,,,,,,,,,,,,,,
Transicion 2016,4,4,Belgrano,Banfield,0,0,,,,,,,,,,,,,,
Transicion 2016,4,5,Tigre,Def y Justicia,0,2,,,,,,,,,,,,,,
Transicion 2016,4,6,Godoy Cruz,Colon,4,1,,,,,,,,,,,,,,
Transicion 2016,4,7,Independiente,Racing Club,1,1,,,,,,,,,,,,,,
Transicion 2016,4,8,Rosario Central,River Plate,3,3,,,,,,,,,,,,,,
Transicion 2016,4,9,Quilmes,Patronato,2,2,,,,,,,,,,,,,,
Transicion 2016,4,10,Arsenal,Sarmiento (J),2,0,,,,,,,,,,,,,,
Transicion 2016,4,11,Union,San Martin (SJ),1,1,,,,,,,,,,,,,,
Transicion 2016,4,12,Atl Rafaela,Temperley,0,2,,,,,,,,,,,,,,
Transicion 2016,4,13,Aldosivi,Estudiantes (LP),1,2,,,,,,,,,,,,,,
Transicion 2016,4,14,Lanus,Atl Tucuman,1,0,,,,,,,,,,,,,,
Transicion 2016,4,15,Argentinos,Huracan,0,0,,,,,,,,,,,,,,
Transicion 2016,5,1,Newells,Union,1,1,,,,,,,,,,,,,,
Transicion 2016,5,2,Banfield,Godoy Cruz,2,3,,,,,,,,,,,,,,
Transicion 2016,5,3,Estudiantes (LP),Argentinos,4,1,,,,,,,,,,,,,,
Transicion 2016,5,4,Sarmiento (J),Quilmes,2,2,,,,,,,,,,,,,,
Transicion 2016,5,5,Huracan,San Lorenzo,1,1,,,,,,,,,,,,,,
Transicion 2016,5,6,Def y Justicia,Aldosivi,4,0,,,,,,,,,,,,,,
Transicion 2016,5,7,Patronato,Belgrano,2,1,,,,,,,,,,,,,,
Transicion 2016,5,8,Colon,Rosario Central,0,3,,,,,,,,,,,,,,
Transicion 2016,5,9,Atl Tucuman,Atl Rafaela,3,0,,,,,,,,,,,,,,
Transicion 2016,5,10,Olimpo,Arsenal,2,1,,,,,,,,,,,,,,
Transicion 2016,5,11,Racing Club,Boca Juniors,1,0,,,,,,,,,,,,,,
Transicion 2016,5,12,San Martin (SJ),Lanus,2,2,,,,,,,,,,,,,,
Transicion 2016,5,13,Velez,Gimnasia (LP),2,1,,,,,,,,,,,,,,
Transicion 2016,5,14,Temperley,Tigre,2,0,,,,,,,,,,,,,,
Transicion 2016,5,15,River Plate,Independiente,1,0,,,,,,,,,,,,,,
Transicion 2016,6,1,Quilmes,Olimpo,1,1,,,,,,,,,,,,,,
Transicion 2016,6,2,Argentinos,Def y Justicia,1,5,,,,,,,,,,,,,,
Transicion 2016,6,3,Arsenal,Velez,1,0,,,,,,,,,,,,,,
Transicion 2016,6,4,Lanus,Newells,3,0,,,,,,,,,,,,,,
Transicion 2016,6,5,Huracan,Estudiantes (LP),1,0,,,,,,,,,,,,,,
Transicion 2016,6,6,Atl Rafaela,San Martin (SJ),1,2,,,,,,,,,,,,,,
Transicion 2016,6,7,Gimnasia (LP),San Lorenzo,0,0,,,,,,,,,,,,,,
Transicion 2016,6,8,Belgrano,Sarmiento (J),3,0,,,,,,,,,,,,,,
